196	1	3	881250949
186	2	3	891717742
22	3	1	878887116
244	4	2	880606923
166	5	1	886397596
298	6	4	884182806
115	7	2	881171488
253	8	5	891628467
305	9	3	886324817
6	10	3	883603013
62	11	2	879372434
286	12	5	879781125
200	13	5	876042340
210	14	3	891035994
224	15	3	888104457
303	16	3	879485318
122	17	5	879270459
194	18	2	879539794
291	19	4	874834944
234	20	2	892079237
119	21	4	886176814
167	22	4	892738452
299	23	4	877881320
291	24	2	874833878
308	25	4	887736532
95	26	2	879196566
38	27	5	892430094
102	28	2	883748450
63	29	4	875747401
160	30	5	876861185
50	31	3	877052329
301	32	4	882075827
225	33	4	879539727
290	34	4	880731963
97	35	3	884238860
157	18	4	886890835
181	36	1	878962623
278	37	5	891295330
276	38	1	874791932
7	39	4	891350932
10	40	4	877888877
284	41	4	885329322
201	42	2	884114233
276	43	3	874791805
287	44	5	875333916
246	45	5	884921594
242	46	5	879741196
249	47	5	879641194
99	48	5	886519097
178	49	3	882823437
251	50	4	886271884
81	51	2	876535131
260	52	4	890618898
25	53	5	885853415
59	54	5	888205088
72	55	2	880037164
87	56	4	879877127
290	57	5	880474293
42	58	5	881107687
292	59	4	881103977
115	60	3	881171009
20	61	1	879667584
201	62	4	884112673
13	63	3	882141053
246	64	4	884920949
138	65	5	879024232
167	66	1	892738341
60	67	5	883326620
57	41	5	883698581
223	18	4	891550094
189	68	4	893277702
243	69	3	879987440
92	70	1	890251826
246	71	3	884923047
194	72	4	879546723
241	73	2	887249482
178	74	4	882823954
254	75	3	886475558
293	76	3	888906576
127	77	5	884364867
225	78	5	879539643
299	77	3	878192429
225	79	5	879540748
276	80	3	874791025
291	23	5	874835091
222	81	4	878183381
267	82	5	878971773
42	83	3	881108684
11	84	4	891903862
95	85	4	888954412
8	86	4	879361873
162	87	4	877635573
87	88	4	879876194
279	89	5	875296291
145	90	2	885557505
119	91	5	874781198
62	92	4	879373848
62	93	3	879375537
28	94	4	881961214
135	95	4	879857765
32	96	3	883709863
90	93	5	891383835
286	97	4	877531942
293	98	3	888905170
216	23	4	880234639
166	99	5	886397722
250	100	4	878090499
271	101	5	885848672
160	102	5	876860807
265	24	4	875320714
198	92	3	884207492
42	103	5	881107178
168	104	5	884288058
110	105	4	886987260
58	23	4	884304936
90	106	4	891384754
271	5	4	885844430
62	107	3	879373460
279	108	3	881375854
237	109	4	879376641
94	110	4	891720887
128	111	3	879966895
298	112	4	884182806
44	113	5	878347874
264	114	5	886122352
194	115	2	879524643
72	113	5	880037702
222	116	5	883815120
250	117	3	878089182
41	7	3	890687042
224	118	3	888082216
82	119	3	878769629
262	120	4	879791710
293	121	3	888904884
216	122	3	880245029
250	123	3	878092059
59	95	5	888205300
286	124	5	877533771
244	125	4	880605185
7	126	4	891352010
174	127	1	886434402
87	18	4	879876734
194	128	2	879551380
82	129	2	884714402
13	130	2	882139746
13	131	4	884538403
244	132	2	880605157
305	67	5	886323090
95	133	2	888954930
43	134	2	883955745
299	135	4	889502823
57	136	3	883698454
84	137	3	883452363
